divsRank,year,points,divsSpeed,isRelay,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
10,2017,5,1.1042402826855124,False,Backstroke,0.9815272687860292,-0.0006617565078952392,-0.13383083905421123,-0.003976158107837054,-0.746476938633639,10
11,2017,7,1.1022927689594357,False,Backstroke,0.9832614159040258,-0.00260927023397195,-0.12126732794387783,-0.015677777056312465,-0.7547713395993153,11
12,2017,6,1.0324179227751393,False,Backstroke,1.049809311557142,-0.07248411641826835,0.36085741091514917,-0.43552017055724607,-1.0523661569847953,12
13,2017,2,1.0275380189066996,False,Backstroke,1.054794984521382,-0.07736402028670808,0.3969775053573559,-0.4648410296654933,-1.0731495172337284,13
14,2017,3,1.0231225700838962,False,Backstroke,1.059347120706123,-0.0817794691095115,0.42995672202198043,-0.49137121475180107,-1.091954777750959,14
15,2017,4,1.0146103896103895,False,Backstroke,1.0682346246858552,-0.09029164958301816,0.49434471646243766,-0.5425165756229082,-1.128207892167614,15
16,2017,0,0.983284169124877,False,Backstroke,1.1022672618765368,-0.12161787006853064,0.7409036220027219,-0.7307398935431604,-1.2616253002027604,16
17,2017,1,0.9582215408202377,False,Backstroke,1.131097457713229,-0.14668049837317,0.9497719942120075,-0.8813284734033735,-1.3683662620912107,17
18,2017,0,0.9410878976096367,False,Backstroke,1.1516904547394378,-0.16381414158377094,1.0989636886472132,-0.9842758166570088,-1.4413379207186707,18
19,2017,0,0.9366804046459347,False,Backstroke,1.1571096644831769,-0.16822163454747296,1.1382246608670037,-1.0107581990344752,-1.460109297477071,19
20,2017,0,0.9285051067780873,False,Backstroke,1.1672977788014063,-0.1763969324153204,1.212035288640209,-1.0598794037576638,-1.4949276392539825,20
21,2017,0,0.9233610341643583,False,Backstroke,1.1738008304938932,-0.18154100502904935,1.2591484553039571,-1.090787518428776,-1.5168360860513133,21
22,2017,0,0.9226794611551947,False,Backstroke,1.1746679040528913,-0.18222257803821296,1.265430210859123,-1.0948827438087096,-1.5197388845013011,22
23,2017,0,0.9097525473071324,False,Backstroke,1.191359070063608,-0.19514949188627528,1.3863540052960799,-1.172553991001674,-1.574794212363139,23
24,2017,0,0.9007386056566384,False,Backstroke,1.203281331499834,-0.20416343353676925,1.4727281441796185,-1.2267141794540337,-1.6131843121756948,24
1,2016,20,1.5028554253080852,False,Backstroke,0.721188432696802,0.39795338611467757,-2.0199279444929488,2.391099390580645,0.9512126743491719,1
