divsRank,qualified,points,divsSpeed,isRelay,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
11.0,True,6,1.1208249271463797,False,0.8346391642358248,0.15381677005778016,-0.8854595174622654,0.7466755342747655,-0.20037962450992242,11.0
12.0,True,1,1.1135857461024499,False,0.8400649736424239,0.14657758901385032,-0.8564058751242385,0.7115342465487419,-0.22870400746440897,12.0
13.0,True,9,1.1018069634200087,False,0.8490456236947261,0.13479880633140917,-0.8083170878061237,0.6543562883247176,-0.27479026354925834,13.0
14.0,True,2,1.0307153164296021,False,0.9076069459107793,0.06370715934100257,-0.4947381205025869,0.3092548180552869,-0.5529470083525817,14.0
15.0,True,0,1.029654036243822,False,0.9085424302912275,0.06264587915522246,-0.4897288718236163,0.3041030264175161,-0.5570994264536943,15.0
16.0,True,0,1.0243802499487809,False,0.9132198521934681,0.0573720928601813,-0.4646826284287653,0.27850239003683025,-0.5777339073064867,16.0
17.0,True,3,1.0199918400652794,False,0.9171488865913503,0.05298368297667988,-0.44364378397709026,0.2571996524149883,-0.5949042199906507,17.0
18.0,True,4,1.0141987829614605,False,0.9223875991218597,0.047190625872860936,-0.4155919913748575,0.2290783103373112,-0.6175704258625655,18.0
19.0,True,0,1.012555690562981,False,0.9238843741305769,0.04554753347438134,-0.4075771934885044,0.22110221713215095,-0.6239992716175927,19.0
20.0,True,0,1.001602564102564,False,0.9339876054394167,0.034594407013964545,-0.3534773077556259,0.16793225686878946,-0.6668550237435747,20.0
21.0,True,0,0.9966115208291807,False,0.9386650273416574,0.029603363740581146,-0.3284310643607749,0.14370414506185109,-0.6863832300641315,21.0
22.0,True,0,0.9899029895070284,False,0.9450263211287045,0.022894832418428823,-0.29436817334377796,0.11113879989639577,-0.7126313662935937,22.0
23.0,True,0,0.9798157946306094,False,0.9547553586853652,0.012807637542009864,-0.24227198708248712,0.062172347013172986,-0.7520990310587677,23.0
24.0,True,0,0.9589566551591868,False,0.9755231119313138,-0.00805150192941273,-0.13106666640934772,-0.039084551720857626,-0.8337135466931064,24.0
25.0,False,0,0.9514747859181732,False,0.9831940838509884,-0.015533371170426302,-0.08999082724179239,-0.07540392515984744,-0.8629874836635817,24.0
26.0,False,0,0.929368029739777,False,1.0065811933621918,-0.037640127348822605,0.03524038973246369,-0.18271715228316732,-0.9494834870206746,24.0
27.0,False,0,0.9181050312155711,False,1.018929587184107,-0.048903125873028475,0.10136247229487061,-0.237391330121112,-0.9935516601302455,24.0
28.0,False,0,0.9053050878145936,False,1.0333360466430084,-0.06170306927400593,0.1785049019510124,-0.29952632732604245,-1.0436333608758075,24.0
29.0,False,0,0.8984725965858041,False,1.0411941154387727,-0.06853556050279541,0.22058259085436246,-0.33269341331262015,-1.0703665088552572,24.0
30.0,False,0,0.8898380494749956,False,1.0512973467476125,-0.07717010761360399,0.274682476587241,-0.37460825182315305,-1.1041504710908987,24.0
31.0,False,0,0.8721437292865865,False,1.07262639062183,-0.0948644278020131,0.38889334646776275,-0.4605021109605291,-1.1733821560141608,24.0
32.0,False,0,0.8710801393728224,False,1.0739360687544575,-0.09592801771577719,0.3959062946183211,-0.4656651147527082,-1.1775436112728663,24.0
33.0,False,0,0.8504847763225039,False,1.0999425345309155,-0.1165233807660957,0.5351634078936933,-0.5656415588257614,-1.2581260620478822,24.0
34.0,False,0,0.8481764206955046,False,1.1029360845483496,-0.11883173639309497,0.5511930036663982,-0.5768470513766607,-1.2671578500882015,24.0
35.0,False,0,0.8460236886632826,False,1.105742537689694,-0.12098446842531696,0.5662207497033096,-0.587297097491307,-1.2755807374436952,24.0
36.0,False,0,0.8427439743805832,False,1.1100457658397553,-0.12426418270801631,0.5892632936265718,-0.6032178739670009,-1.2884131120950197,24.0
37.0,False,0,0.8392077878482712,False,1.114723187741996,-0.12780036924032834,0.6143095370214233,-0.6203836483316392,-1.3022489729378273,24.0
38.0,False,0,0.7983394539358135,False,1.1717877349493322,-0.16866870315278604,0.9198737064386076,-0.818771542236452,-1.462152466637425,24.0
39.0,False,0,0.7802746566791511,False,1.198916781982328,-0.18673350040944847,1.0651419181287445,-0.9064638149198329,-1.5328336987253988,24.0
40.0,False,0,0.7755545214828603,False,1.2062135601498236,-0.19145363560573925,1.1042140578247128,-0.9293768527388926,-1.5513019365116048,24.0
41.0,False,0,0.7717240314863404,False,1.2122006601846917,-0.19528412560225916,1.1362732493701226,-0.9479712697430416,-1.5662893038541765,24.0
42.0,False,0,0.7665184730952016,False,1.2204329227326352,-0.20048968399339795,1.1803546377450598,-0.9732407061734254,-1.586656832787051,24.0
43.0,False,0,0.7580351728320195,False,1.2340909946871779,-0.20897298425658006,1.253489668458025,-1.0144213443707126,-1.6198490190183579,24.0
44.0,False,0,0.7138777841233581,False,1.3104265201317455,-0.25313037296524143,1.662244360661996,-1.2287753565751869,-1.7926214335310469,24.0
45.0,False,0,0.7122507122507122,False,1.3134200701491796,-0.2547574448378873,1.6782739564347011,-1.2366736810514771,-1.79898759657292,24.0
46.0,False,0,0.7027406886858748,False,1.3311942733776942,-0.26426746840272475,1.7734496813351361,-1.2828383607777074,-1.8361969919067354,24.0
47.0,False,0,0.5765682656826568,False,1.622504109449243,-0.3904398914059427,3.333329719966467,-1.8953194401897913,-2.329865544433856,24.0
