,id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,eventMeanAge,eventMedianAge,gender,distance,stroke
148,183,13,17.0,183,15,3,6,47.41,44.92,44.7,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
149,184,14,19.0,184,15,3,6,57.69,45.36,46.66,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
150,185,15,13.0,185,15,26,6,43.25,45.78,43.2,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
151,187,17,12.0,187,15,3,6,47.27,46.8,43.03,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
152,188,18,16.0,188,15,3,6,53.88,47.77,44.2,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
153,189,19,14.0,189,15,3,6,51.19,48.0,43.65,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
154,190,20,23.0,190,15,10,6,49.13,49.1,51.22,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
155,191,21,20.0,191,15,42,6,51.75,50.4,49.29,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
156,192,22,21.0,192,15,16,6,51.5,51.25,49.66,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
157,193,23,24.0,193,15,5,6,59.03,54.31,53.04,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
158,194,24,22.0,194,15,39,6,60.5,54.76,50.88,True,2017,14.877862595419847,15.0,Boys,50,Backstroke
159,195,25,,195,15,30,6,40.84,55.11,,False,2017,14.877862595419847,15.0,Boys,50,Backstroke
160,196,26,,196,15,48,6,56.44,57.08,,False,2017,14.877862595419847,15.0,Boys,50,Backstroke
161,197,27,,197,15,17,6,60.8,57.1,,False,2017,14.877862595419847,15.0,Boys,50,Backstroke
162,198,28,,198,15,3,6,65.17,59.54,,False,2017,14.877862595419847,15.0,Boys,50,Backstroke
163,199,29,,199,15,39,6,62.26,64.92,,False,2017,14.877862595419847,15.0,Boys,50,Backstroke
164,200,30,,200,15,33,6,85.22,72.01,,False,2017,14.877862595419847,15.0,Boys,50,Backstroke
165,208,1,1.0,208,16,17,7,31.6,31.41,30.89,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
166,209,2,2.0,209,16,48,7,34.94,33.05,32.26,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
167,210,3,3.0,210,16,3,7,36.26,34.29,33.8,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
168,211,4,4.0,211,16,3,7,38.71,37.46,37.48,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
169,212,5,6.0,212,16,36,7,42.25,40.1,39.53,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
170,213,6,5.0,213,16,33,7,42.08,40.42,38.1,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
171,214,7,9.0,214,16,16,7,41.7,40.84,40.55,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
172,215,8,7.0,215,16,36,7,44.31,42.49,39.8,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
173,216,9,10.0,216,16,38,7,44.03,43.01,41.86,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
174,217,10,8.0,217,16,36,7,45.1,43.09,39.83,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
175,218,11,11.0,218,16,3,7,43.11,43.58,41.97,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
176,219,12,12.0,219,16,33,7,45.75,43.88,43.05,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
177,220,13,17.0,220,16,33,7,42.09,44.35,45.49,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
178,221,14,13.0,221,16,5,7,45.47,44.55,43.62,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
179,222,15,18.0,222,16,33,7,47.38,45.47,46.31,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
180,223,16,15.0,223,16,33,7,47.3,45.56,45.13,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
181,224,17,14.0,224,16,43,7,46.59,46.63,44.79,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
182,225,18,16.0,225,16,3,7,46.88,46.93,45.48,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
183,226,19,20.0,226,16,3,7,59.26,47.1,48.43,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
184,227,20,19.0,227,16,3,7,48.98,47.13,48.13,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
185,228,21,21.0,228,16,26,7,54.19,47.2,49.38,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
186,229,22,22.0,229,16,33,7,51.32,50.02,49.96,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
187,230,23,24.0,230,16,33,7,56.31,51.05,51.39,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
188,231,24,23.0,231,16,52,7,53.9,51.62,50.22,True,2017,15.979591836734693,16.0,Boys,50,Backstroke
189,232,25,,232,16,33,7,63.99,53.25,,False,2017,15.979591836734693,16.0,Boys,50,Backstroke
