qualified,points,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank
FALSE,0,2.220190413,-1.637753141,24
FALSE,0,2.355462145,-1.698710805,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.581715098,1.936384287,1
TRUE,18,-1.527826359,1.834109502,2
TRUE,16,-1.361761062,1.536966695,3
TRUE,14,-1.338665888,1.497663186,4
TRUE,12,-0.882261264,0.807076757,5
TRUE,0,-0.826172985,0.732138742,6
TRUE,10,-0.565527452,0.407663617,7
TRUE,11,-0.539132968,0.376826111,8
TRUE,7,-0.351072267,0.166813271,9
TRUE,6,-0.334575714,0.149164575,10
TRUE,9,-0.318079162,0.131634991,11
TRUE,8,-0.202603293,0.01216414,12
TRUE,4,-0.12451961,-0.065544052,13
TRUE,2,-0.104723747,-0.084866759,14
TRUE,1,-0.025540294,-0.160681009,15
TRUE,5,0.196613282,-0.361519672,16
TRUE,3,0.204311674,-0.36818378,17
TRUE,0,0.261499723,-0.417101132,18
TRUE,0,0.385773753,-0.519953,19
TRUE,0,0.48805238,-0.601233388,20
TRUE,0,0.517746175,-0.624286885,21
TRUE,0,0.533142957,-0.636146643,22
TRUE,0,0.538641808,-0.640366865,23
TRUE,0,0.583732386,-0.674670342,24
FALSE,0,0.660716298,-0.732018709,24
FALSE,0,0.85427585,-0.86977253,24
FALSE,0,0.947756315,-0.933198429,24
FALSE,0,1.129218395,-1.050976431,24
FALSE,0,1.34697289,-1.183700519,24
FALSE,0,1.7153959,-1.389242484,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.527110898,2.21478751,1
TRUE,18,-1.356596052,1.83925361,2
TRUE,16,-1.227670193,1.579161347,3
TRUE,14,-0.898077473,0.992525357,4
TRUE,11,-0.62359016,0.574756098,5
TRUE,12,-0.590318971,0.527825727,6
TRUE,8,-0.546650535,0.467345704,7
TRUE,10,-0.375095964,0.24132086,8
TRUE,7,-0.321030282,0.173682687,9
TRUE,9,-0.312712484,0.163421709,10
TRUE,6,-0.261765975,0.10139524,11
TRUE,5,-0.230574235,0.064103546,12
TRUE,0,-0.181707176,0.006694238,13
TRUE,4,-0.160912683,-0.017367853,14
TRUE,0,-0.065258013,-0.125327104,15
TRUE,2,-0.055900491,-0.135654208,16
TRUE,3,0.055350049,-0.255377692,17
TRUE,1,0.086541789,-0.287965112,18
TRUE,0,0.104217108,-0.306247047,19
TRUE,0,0.107336282,-0.30945958,20
TRUE,0,0.114614355,-0.316939609,21
TRUE,0,0.407816711,-0.600867542,22
TRUE,0,0.514908352,-0.696750736,23
TRUE,0,0.574172658,-0.748167626,24
FALSE,0,0.743647779,-0.889127237,24
FALSE,0,1.295741579,-1.293906765,24
FALSE,0,2.060978935,-1.747121734,24
FALSE,0,2.158713054,-1.797819519,24
FALSE,0,3.608089243,-2.4111997,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,16,-1.538547869,2.241384048,1
TRUE,14,-1.395065865,1.9206852,2
TRUE,18,-1.376350821,1.880840772,3
TRUE,20,-1.3628344,1.852334647,4
TRUE,0,-1.072751217,1.29047706,5
TRUE,12,-0.757714643,0.771792466,6
TRUE,0,-0.673496944,0.646573071,7
TRUE,8,-0.626709334,0.579194251,8
TRUE,0,-0.531054665,0.446046062,9
TRUE,11,-0.528975215,0.443217882,10
TRUE,9,-0.507140997,0.413687692,11
TRUE,10,-0.295037165,0.14174314,12
TRUE,7,-0.099568927,-0.087108737,13
TRUE,3,0.023118584,-0.221260567,14
TRUE,6,0.064707571,-0.265197861,15
