divsRank,swimmerage,qualified,points,divsSpeed,numRelays,numSwimmers,numQualified,gender,distance,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,normed_numSwimmers,normed_numQualified,normed_swimmerage,clipped_divsRank,normed_numRelays
5,15,True,16,1.2076565424793189,0,13,8,Boys,200,Freestyle,1.089028991344518,-0.1329932012668844,0.6323906437699389,-0.7913684657822755,-0.23749636143323538,-0.771107296895326,-1.0238112902275098,-1.0911794927742544,0.20833333333333334,0.0
6,17,True,12,1.1896264572924102,1,13,8,Boys,200,Freestyle,1.105534412323171,-0.15102328645379304,0.749631933834571,-0.8986554602779895,-0.3140607620030673,-0.771107296895326,-1.0238112902275098,1.1983952274050043,0.25,0.5
7,15,True,11,1.0185892538833716,2,13,8,Boys,200,Freestyle,1.2911710793460303,-0.32206048986283164,2.0682461244818127,-1.9164025929444257,-1.0403668675150812,-0.771107296895326,-1.0238112902275098,-1.0911794927742544,0.2916666666666667,1.0
8,17,True,9,0.9762288280372919,1,13,8,Boys,200,Freestyle,1.3471974485644065,-0.36442091570891133,2.466212575219131,-2.1684658931158696,-1.2202495790589412,-0.771107296895326,-1.0238112902275098,1.1983952274050043,0.3333333333333333,0.5
1,15,True,20,1.5328019619865114,2,47,24,Girls,50,Backstroke,0.7283815797277918,0.4017012407450662,-1.9293596957761383,2.390300342897421,1.1432272393997938,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.041666666666666664,1.0
2,15,True,18,1.4854426619132504,1,47,24,Girls,50,Backstroke,0.751604045789009,0.35434194067180513,-1.7644058976863777,2.1084915264881623,0.9421169072007622,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.08333333333333333,0.5
3,15,True,16,1.3986013986013985,2,47,24,Girls,50,Backstroke,0.7982722708543397,0.2675006773599533,-1.4329122072944536,1.5917475376297856,0.5733471980578141,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.125,1.0
4,15,True,14,1.350621285791464,1,47,24,Girls,50,Backstroke,0.8266304746021723,0.21952056455001867,-1.2314782423194564,1.306244610406745,0.3696005968363798,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.16666666666666666,0.5
5,15,True,10,1.2324377618930245,2,47,24,Girls,50,Backstroke,0.9058994693303654,0.10133704065157922,-0.6684147969169083,0.6030002859050287,-0.13226340273498727,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.20833333333333334,1.0
6,15,True,12,1.2091898428053205,2,47,24,Girls,50,Backstroke,0.9233163188762783,0.07808912156387526,-0.5446994483495872,0.464664868110647,-0.2309852318885407,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.25,1.0
7,15,True,8,1.2010569300984866,2,47,24,Girls,50,Backstroke,0.9295685212773752,0.06995620885704135,-0.5002888104023439,0.41627043448668594,-0.26552148503600975,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.2916666666666667,1.0
8,15,True,11,1.1652295502213936,2,47,24,Girls,50,Backstroke,0.958150017968104,0.0341288289799484,-0.29726875121494645,0.20308165208090673,-0.4176617459300074,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.3333333333333333,1.0
9,15,True,5,1.1425959780621573,2,47,24,Girls,50,Backstroke,0.9771299181142911,0.011495256820712063,-0.1624507431608149,0.06840187067701864,-0.5137747629879755,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.375,1.0
10,15,True,7,1.1410314924691922,2,47,24,Girls,50,Backstroke,0.978469675771669,0.009930771227746993,-0.1529341778864055,0.059092488305218197,-0.5204183201527792,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.4166666666666667,1.0
11,15,True,6,1.1208249271463797,2,47,24,Girls,50,Backstroke,0.9961098182604782,-0.010275794095065516,-0.027632735106683345,-0.06114552721674682,-0.6062251006243224,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.4583333333333333,1.0
12,15,True,1,1.1135857461024499,0,47,24,Girls,50,Backstroke,1.0025853136044713,-0.01751497513899536,0.018363997052960938,-0.10422186150814033,-0.636966139920544,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.5,0.0
13,15,True,9,1.1018069634200087,2,47,24,Girls,50,Backstroke,1.0133033748634948,-0.029293757821436506,0.09449651924823596,-0.17431083666921365,-0.6869845078968768,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.5416666666666666,1.0
14,15,True,2,1.0307153164296021,2,47,24,Girls,50,Backstroke,1.0831940659900425,-0.1003854048118431,0.59094400772992,-0.5973376310677779,-0.9888737824575273,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.5833333333333334,1.0
15,15,True,0,1.029654036243822,2,47,24,Girls,50,Backstroke,1.0843105307045242,-0.10144668499762322,0.5988744787919283,-0.6036527183382959,-0.9933804878013209,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.625,1.0
16,15,True,0,1.0243802499487809,2,47,24,Girls,50,Backstroke,1.0898928542769322,-0.10672047129266438,0.6385268341019669,-0.6350340831705862,-1.0157755171218925,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.6666666666666666,1.0
17,15,True,3,1.0199918400652794,1,47,24,Girls,50,Backstroke,1.094582006077755,-0.1111088811761658,0.6718348125623997,-0.6611470661174449,-1.0344108130010807,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.7083333333333334,0.5
18,15,True,4,1.0141987829614605,2,47,24,Girls,50,Backstroke,1.1008342084788516,-0.11690193827998474,0.7162454505096414,-0.6956183223077403,-1.0590109155531615,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.75,1.0
19,15,True,0,1.012555690562981,0,47,24,Girls,50,Backstroke,1.1026205520220222,-0.11854503067846434,0.7289342042088544,-0.7053954499965006,-1.06598827496474,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.7916666666666666,0.0
20,15,True,0,1.001602564102564,1,47,24,Girls,50,Backstroke,1.1146783709384236,-0.12949815713888113,0.8145832916785388,-0.7705714048568159,-1.1125005101047207,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.8333333333333334,0.5
21,15,True,0,0.9966115208291807,2,47,24,Girls,50,Backstroke,1.1202606945108315,-0.13448920041226453,0.8542356469885773,-0.8002703234502874,-1.133694876769286,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.875,1.0
22,15,True,0,0.9899029895070284,1,47,24,Girls,50,Backstroke,1.1278526545693062,-0.14119773173441685,0.9081628502102284,-0.8401890568102758,-1.1621825225047304,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.9166666666666666,0.5
23,15,True,0,0.9798157946306094,0,47,24,Girls,50,Backstroke,1.1394638875999148,-0.1512849266108358,0.9906397492551091,-0.9002123351234221,-1.2050175962793606,1.2659916512877722,1.3892303622179252,-1.0911794927742544,0.9583333333333334,0.0
24,15,True,0,0.9589566551591868,2,47,24,Girls,50,Backstroke,1.1642494042614062,-0.1721440660822584,1.166696206831681,-1.0243334559310355,-1.2935955199816622,1.2659916512877722,1.3892303622179252,-1.0911794927742544,1.0,1.0
1,15,True,20,1.4943215780035863,2,63,16,Girls,50,Backstroke,0.7471381869310827,0.3632208567621411,-1.796127781934408,2.1613250107361153,0.9798210489793052,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.041666666666666664,1.0
2,14,True,14,1.2807377049180328,2,63,16,Girls,50,Backstroke,0.8717356490672286,0.14963698367658762,-0.9110872114143451,0.8904063445979692,0.07284135117665291,2.2246264504327597,0.1827095359952077,-2.235966852863884,0.08333333333333333,1.0
