id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,divsTimePctOfMean,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank,designation
49,12.0,16.0,49.0,15.0,48,3,49.2,44.9,47.03,True,2017,1,1.1135857461024499,0.8400649736424239,-0.880085248925347,0.8137889825271102,12.0,
50,13.0,8.0,50.0,15.0,3,3,47.97,45.38,42.25,True,2017,9,1.1018069634200087,0.8490456236947261,-0.8306668205998285,0.7483939679205731,13.0,
51,14.0,15.0,51.0,15.0,26,3,49.78,48.51,46.87,True,2017,2,1.0307153164296021,0.9076069459107793,-0.5084174858938474,0.3536978928948554,14.0,
52,15.0,18.0,52.0,15.0,5,3,49.78,48.56,48.94,True,2017,0,1.029654036243822,0.9085424302912275,-0.5032697329432722,0.3478057361990554,15.0,
53,16.0,17.0,53.0,15.0,16,3,47.42,48.81,48.18,True,2017,0,1.0243802499487809,0.9132198521934681,-0.4775309681903984,0.3185260269885196,16.0,
54,17.0,14.0,54.0,15.0,49,3,49.11,49.02,46.24,True,2017,3,1.0199918400652794,0.9171488865913503,-0.4559104057979843,0.2941618684699272,17.0,
55,18.0,13.0,55.0,15.0,3,3,50.22,49.3,45.73,True,2017,4,1.0141987829614605,0.9223875991218597,-0.42708298927476607,0.2619992024173917,18.0,
56,19.0,24.0,56.0,15.0,46,3,50.03,49.38,51.77,True,2017,0,1.012555690562981,0.9238843741305769,-0.4188465845538457,0.2528768631829103,19.0,
57,20.0,19.0,57.0,15.0,3,3,53.06,49.92,50.11,True,2017,0,1.001602564102564,0.9339876054394167,-0.3632508526876382,0.192065836765556,20.0,
58,21.0,23.0,58.0,15.0,3,3,52.04,50.17,51.21,True,2017,0,0.9966115208291807,0.9386650273416574,-0.33751208793476445,0.1643558979234615,21.0,
59,22.0,22.0,59.0,15.0,42,3,51.96,50.51,51.18,True,2017,0,0.9899029895070284,0.9450263211287045,-0.3025073678708566,0.12711058016625834,22.0,
60,23.0,20.0,60.0,15.0,34,3,52.69,51.03,50.41,True,2017,0,0.9798157946306094,0.9547553586853652,-0.2489707371848785,0.0711071480572884,23.0,
61,24.0,21.0,61.0,15.0,49,3,52.31,52.14,51.04,True,2017,0,0.9589566551591868,0.9755231119313138,-0.1346906216821182,-0.044701400855575,24.0,
62,25.0,,62.0,15.0,49,3,48.97,52.55,,False,2017,0,0.9514747859181732,0.9831940838509884,-0.09247904748740561,-0.08624023907776728,24.0,
63,26.0,,63.0,15.0,34,3,53.15,53.8,,False,2017,0,0.929368029739777,1.0065811933621918,0.03621477627696409,-0.2089754726044431,24.0,
64,27.0,,64.0,15.0,36,3,54.82,54.46,,False,2017,0,0.9181050312155711,1.018929587184107,0.10416511522455098,-0.27150688801987716,24.0,
65,28.0,,65.0,15.0,48,3,68.13,55.23,,False,2017,0,0.9053050878145936,1.0333360466430084,0.18344051066340278,-0.34257131872013774,24.0,
66,29.0,,66.0,15.0,43,3,60.07,55.65,,False,2017,0,0.8984725965858041,1.0411941154387727,0.22668163544823103,-0.38050485359821934,24.0,
67,30.0,,67.0,15.0,33,3,75.34,56.19,,False,2017,0,0.8898380494749956,1.0512973467476125,0.2822773673144386,-0.42844328235231316,24.0,
68,31.0,,68.0,15.0,17,3,43.8,57.33,,False,2017,0,0.8721437292865865,1.07262639062183,0.399646134587544,-0.5266809660221798,24.0,
69,32.0,,69.0,15.0,5,3,69.28,57.4,,False,2017,0,0.8710801393728224,1.0739360687544575,0.40685298871834874,-0.5325859461734525,24.0,
70,33.0,,70.0,15.0,49,3,49.03,58.79,,False,2017,0,0.8504847763225039,1.0999425345309155,0.5499605207443272,-0.6469300260171414,24.0,
71,34.0,,71.0,15.0,3,3,56.33,58.95,,False,2017,0,0.8481764206955046,1.1029360845483496,0.5664333301861667,-0.6597458622554423,24.0,
72,35.0,,72.0,15.0,33,3,56.81,59.1,,False,2017,0,0.8460236886632826,1.105742537689694,0.5818765890378919,-0.6716976866915088,24.0,
73,36.0,,73.0,15.0,33,3,60.59,59.33,,False,2017,0,0.8427439743805832,1.1100457658397553,0.6055562526105348,-0.6899064412975444,24.0,
74,37.0,,74.0,15.0,34,3,59.3,59.58,,False,2017,0,0.8392077878482712,1.114723187741996,0.6312950173634091,-0.7095391127005674,24.0,
75,38.0,,75.0,15.0,26,3,64.88,62.63,,False,2017,0,0.7983394539358135,1.1717877349493322,0.9453079473484705,-0.9364373724956205,24.0,
76,39.0,,76.0,15.0,5,3,56.94,64.08,,False,2017,0,0.7802746566791511,1.198916781982328,1.0945927829151394,-1.0367319200998162,24.0,
77,40.0,,77.0,15.0,10,3,57.7,64.47,,False,2017,0,0.7755545214828603,1.2062135601498236,1.134745255929623,-1.062937795395097,24.0,
78,41.0,,78.0,15.0,43,3,59.69,64.79,,False,2017,0,0.7717240314863404,1.2122006601846917,1.167690874813302,-1.0842044199713388,24.0,
